Ort;Plz;Bundesland
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Radebeul;14280;Sachsen
Radeberg;14292;Sachsen
Wachau;14292;Sachsen
Ottendorf-Okrilla;14292;Sachsen
Dresden;14262;Sachsen
Dresden;14262;Sachsen
Langebrueck;14262;Sachsen
Moritzburg;14280;Sachsen
Radeburg;14280;Sachsen
Arnsdorf;14292;Sachsen
Dresden;14262;Sachsen
Grossenhain;14285;Sachsen
Schoenfeld;14285;Sachsen
Lampertswalde;14285;Sachsen
Tauscha;14285;Sachsen
Priestewitz;14285;Sachsen
Ebersbach;14285;Sachsen
Weissig am Raschuetz;14285;Sachsen
Wildenhain;14285;Sachsen
Thiendorf;14285;Sachsen
Zabeltitz;14285;Sachsen
Riesa;14285;Sachsen
Riesa;14285;Sachsen
Riesa;14285;Sachsen
Hirschstein;14285;Sachsen
Stauchitz;14285;Sachsen
Groeditz;14285;Sachsen
Nauwalde;14285;Sachsen
Wuelknitz;14285;Sachsen
Glaubitz;14285;Sachsen
Diesbar-Seusslitz;14285;Sachsen
Nuenchritz;14285;Sachsen
Strehla;14285;Sachsen
Roederaue;14285;Sachsen
Zeithain;14285;Sachsen
Lommatzsch;14280;Sachsen
Leuben-Schleinitz;14280;Sachsen
Ketzerbachtal;14280;Sachsen
Coswig;14280;Sachsen
Meissen;14280;Sachsen
Triebischtal;14280;Sachsen
Taubenheim;14280;Sachsen
Kaebschuetztal;14280;Sachsen
Diera-Zehren;14280;Sachsen
Klipphausen;14280;Sachsen
Heynitz;14280;Sachsen
Nossen;14280;Sachsen
Weinboehla;14280;Sachsen
Niederau;14280;Sachsen
Freital;14290;Sachsen
Wilsdruff;14290;Sachsen
Bannewitz;14290;Sachsen
Kreischa;14290;Sachsen
Rabenau;14290;Sachsen
Tharandt;14290;Sachsen
Dorfhain;14290;Sachsen
Dippoldiswalde;14290;Sachsen
Schmiedeberg;14290;Sachsen
Hartmannsdorf-Reichenau;14290;Sachsen
Glashuette;14290;Sachsen
Baerenstein;14290;Sachsen
Reinhardtsgrimma;14290;Sachsen
Altenberg;14290;Sachsen
Hoeckendorf;14290;Sachsen
Pretzschendorf;14290;Sachsen
Hermsdorf/Erzgebirge;14290;Sachsen
Geising;14290;Sachsen
Pirna;14287;Sachsen
Struppen;14287;Sachsen
Dohma;14287;Sachsen
Mueglitztal;14287;Sachsen
Dohna;14287;Sachsen
Heidenau;14287;Sachsen
Bad Schandau;14287;Sachsen
Reinhardtsdorf-Schoena;14287;Sachsen
Porschdorf;14287;Sachsen
Rathmannsdorf;14287;Sachsen
Bad Gottleuba-Berggiesshuebel;14287;Sachsen
Bahretal;14287;Sachsen
Gohrisch;14287;Sachsen
Rosenthal-Bielatal;14287;Sachsen
Rathen;14287;Sachsen
Koenigstein/Saechsische Schweiz;14287;Sachsen
Liebstadt;14287;Sachsen
Stadt Wehlen;14287;Sachsen
Stolpen;14287;Sachsen
Duerrroehrsdorf-Dittersbach;14287;Sachsen
Hohwald;14287;Sachsen
Neustadt in Sachsen;14287;Sachsen
Lohmen;14287;Sachsen
Hohnstein;14287;Sachsen
Kirnitzschtal;14287;Sachsen
Sebnitz;14287;Sachsen
Rammenau;14272;Sachsen
Demitz-Thumitz;14272;Sachsen
